"pb","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",228.166666666667,115.333333333333,72.0833333333333,1175.37872684303,308,148,160,232.5,227.5,241.333333333333,215.5,1510,237,18,67.8237134329514,647,83,394,179
"3",246.041666666667,73.9166666666667,65.9970238095238,1115.48161904365,303,191,112,249.833333333333,241.5,255,234.666666666667,2459,349,53,51.3672536628565,966,187,593,305
"3",247.833333333333,84.5,75.4464285714286,721.530360141596,304,192,112,250.166666666667,247.5,256,240.5,2707,446,37,59.3982541507687,1174,166,570,503
"3",247.666666666667,85.5,75.6637168141593,715.520577600461,305,192,113,249.5,247.5,256,240.333333333333,2596,436,32,63.6435700209318,1167,133,527,451
"4",253.458333333333,80.25,73.6238532110092,808.606639207036,309,200,109,256,254.666666666667,262.333333333333,244.833333333333,4080,652,64,54.8510401185515,1752,287,919,764
"4",252.916666666667,86.3333333333333,76.4011799410029,679.85069662167,309,196,113,255.166666666667,254.5,261,245.833333333333,3225,470,69,48.045329458602,1235,251,687,740
"4",251.125,85.0833333333333,76.6516516516516,679.613860953409,307,196,111,253.5,252.666666666667,259.5,244,3150,463,63,49.8190271305167,1233,233,671,704
"5",264.125,97.25,73.1203007518797,783.675779434791,335,202,133,265.333333333333,270.833333333333,275,256.166666666667,1933,280,26,58.9256429520503,798,107,200,561
"5",254.666666666667,96,73.8461538461538,877.064663660796,324,194,130,257.333333333333,258,265.166666666667,245.166666666667,2241,366,34,65.5553972667215,1007,132,290,291
"5",259.375,89.75,74.1735537190083,832.609534153697,324,203,121,262.333333333333,263.166666666667,269.333333333333,250.333333333333,2438,392,43,63.2296793576533,1105,163,330,329
"4",252.708333333333,78.25,69.2477876106195,956.18996147431,311,198,113,256,251.5,261.666666666667,243,2736,425,67,55.0860699913331,1168,210,708,466
"4",253.208333333333,80.25,69.7826086956522,931.142585832865,313,198,115,256.166666666667,252.333333333333,262,243.666666666667,2756,432,66,55.4452276637043,1187,215,724,461
"4",254.916666666667,77.3333333333333,69.6696696696697,919.691977421426,312,201,111,258,253.833333333333,263.666666666667,245.833333333333,2756,431,68,55.2507470340927,1179,210,709,471
"4",256.333333333333,82.3333333333333,70.9770114942529,898.314920821032,317,201,116,258.833333333333,256.666666666667,265.333333333333,247.166666666667,2845,462,65,57.6113882270955,1260,220,764,452
"4",251.208333333333,82.25,71.5217391304348,867.194623571615,312,197,115,253.666666666667,252.166666666667,260.166666666667,242.166666666667,2896,461,67,55.2874299238286,1253,236,773,478
"4",255.708333333333,81.0833333333333,71.1257309941521,901.88145092088,315,201,114,258.5,255.5,264.5,246.333333333333,2794,449,65,56.9772237775035,1227,215,743,452
"4",255.041666666667,77.5833333333333,70.530303030303,887.401296261201,312,202,110,258.166666666667,255.166666666667,263.833333333333,245.833333333333,2801,448,69,56.304835439511,1219,214,729,467
"4",254.125,77.4166666666667,70.3787878787879,886.290789547293,311,201,110,257.5,254.166666666667,262.833333333333,245,2807,450,69,56.3699912717608,1223,215,731,467
"4",258.666666666667,85.1666666666667,72.7920227920228,823.333946754771,321,204,117,261.166666666667,261.333333333333,268.166666666667,249.833333333333,2854,472,61,57.5747001600371,1265,229,403,445
"4",259.25,85.5,73.0769230769231,838.96581358458,322,205,117,261.666666666667,262.5,269,250.166666666667,2817,468,60,58.020751010122,1254,224,398,434
"4",253.125,85.75,72.6694915254237,813.836313674037,318,200,118,255.166666666667,257.333333333333,263.333333333333,244.333333333333,2882,473,62,55.6143622970557,1253,242,409,460
"4",259.041666666667,82.9166666666667,71.4798850574713,853.724016863586,320,204,116,261.666666666667,261,268.166666666667,250.166666666667,2799,472,62,59.3490968255335,1267,214,391,427
"4",258.958333333333,83.9166666666667,72.3419540229885,847.310808417198,320,204,116,261.333333333333,260.333333333333,267.833333333333,250.166666666667,2877,468,64,57.1896881307357,1270,229,780,458
"4",257.958333333333,84.9166666666667,73.2040229885058,812.532050649901,321,205,116,260.166666666667,261.5,267.833333333333,249.166666666667,2757,464,58,59.1225226184458,1242,213,388,416
"4",260.333333333333,85.5,72.4576271186441,844.052274698814,323,205,118,262.833333333333,263.5,270,251.5,2840,465,61,57.2152194872081,1253,228,399,447
"5",259.833333333333,90.8333333333333,74.4535519125683,741.415517572279,324,202,122,260.166666666667,264.5,269.666666666667,252.5,2060,342,15,77.1823793555784,965,57,169,256
"5",251.083333333333,89.5,75.2100840336134,697.669279990472,312,193,119,252.5,253.5,259.333333333333,243.833333333333,1999,315,21,72.3166498984487,906,68,444,279
"5",256.5,89.6666666666667,75.3501400560224,717.635004720366,318,199,119,257.833333333333,259.833333333333,265.166666666667,248.833333333333,1980,304,21,70.9882023925401,888,69,186,277
"5",257.791666666667,92.0833333333333,74.260752688172,776.781920177827,323,199,124,258.5,262.833333333333,268.166666666667,250.166666666667,2180,342,19,75.1055762076633,1006,69,179,283
"5",258.333333333333,91,74.5901639344262,762.869383950947,322,200,122,258.833333333333,262.5,268.333333333333,250.5,2067,324,19,74.7461578514405,952,64,178,267
"5",255.416666666667,90.5,74.1803278688525,740.34185387972,319,197,122,256.5,259.166666666667,264.5,247.666666666667,2064,319,22,72.8015015201677,941,71,181,280
"4",254.291666666667,86.75,76.0964912280702,688.693866986082,312,198,114,256.5,256.333333333333,262.5,246.833333333333,2816,414,53,51.8749015508157,1113,188,611,597
"4",253.541666666667,87.25,76.5350877192982,693.626285720505,311,197,114,255.833333333333,255.5,262,246.166666666667,2797,409,54,51.6556621442733,1101,188,604,594
"4",253.666666666667,86.6666666666667,76.0233918128655,686.669608702141,311,197,114,255.833333333333,255.666666666667,262,246.5,2820,414,53,52.0946804994033,1119,188,612,595
"4",248.958333333333,82.25,74.7727272727273,726.27891378317,304,194,110,251.5,249.666666666667,257.5,241.5,3614,547,75,49.0465952052417,1420,290,755,846
"4",243.5,82.5,76.3888888888889,702.916004292767,298,190,108,246.333333333333,243.833333333333,251.833333333333,236,3532,527,77,48.4361855223777,1376,290,728,826
"4",251.416666666667,83.5,76.605504587156,685.841663854558,306,197,109,253.833333333333,252.166666666667,259.5,244.166666666667,3015,467,51,53.9810082093323,1243,202,650,627
"4",252.625,82.75,75.9174311926605,715.771992644687,307,198,109,255.166666666667,253.5,261,245.166666666667,3297,512,60,52.087139118762,1341,237,705,721
"4",249.375,85.0833333333333,76.6516516516516,691.219278455897,305,194,111,251.666666666667,250.666666666667,257.833333333333,242.166666666667,3068,449,61,50.3620039033186,1206,224,652,676
"4",248.666666666667,85,75.8928571428571,712.337169059879,304,192,112,251.333333333333,249.833333333333,257,241.166666666667,3096,454,62,50.2062784631392,1216,228,656,685
"4",256.375,87.0833333333333,76.3888888888889,683.282518435822,314,200,114,258.5,258.5,264.833333333333,249.166666666667,3148,463,67,48.2340544922381,1204,241,681,717
"4",255.5,88,75.8620689655172,698.374736604405,314,198,116,257.666666666667,258.5,264,248.166666666667,3111,457,67,48.2970522837242,1191,239,668,704
"4",253.416666666667,87.5,76.7543859649123,681.520136877625,311,197,114,255.666666666667,255.5,261.833333333333,246.166666666667,3253,473,73,47.1634105919495,1234,262,692,753
"4",255.458333333333,86.75,76.0964912280702,672.66712466573,313,199,114,257.833333333333,257.833333333333,263.666666666667,248.666666666667,3360,483,78,46.0448264858803,1279,287,731,782
"4",251,87.5,75.4310344827586,718.584467104346,310,194,116,253.5,253.5,259.5,243.333333333333,2649,382,50,53.3765076586356,1057,170,568,541
"5",251.5,87.5,76.0869565217391,684.238129733953,310,195,115,253.333333333333,253.666666666667,259.5,244.333333333333,2393,345,39,57.9628274314441,986,132,527,445
"5",256.041666666667,89.0833333333333,75.4943502824859,715.560280585441,317,199,118,258,259.5,265,248.333333333333,2464,358,43,55.1081228849124,997,145,272,485
"4",253.125,85.4166666666667,76.264880952381,676.261447558964,309,197,112,255.166666666667,255,261.166666666667,246,3280,478,70,48.0119296067622,1259,257,699,756
"4",251.75,85.5,76.3392857142857,708.230830373057,308,196,112,254,254,260.333333333333,244.333333333333,3487,500,80,46.1066171682104,1314,295,736,831
"4",257.25,87.8333333333333,76.3768115942029,697.234798067598,315,200,115,259.333333333333,259.333333333333,265.666666666667,249.666666666667,2959,441,59,49.9282820840034,1136,209,639,658
"3",242.125,100.083333333333,72.0023980815348,998.208622756513,313,174,139,245.166666666667,242.166666666667,253,232.166666666667,2598,405,43,64.2259969247924,1178,141,631,361
"3",242.375,100.083333333333,72.524154589372,990.437231272588,313,175,138,245.5,242.166666666667,253.166666666667,232.166666666667,2628,411,44,64.0746418603075,1195,144,636,368
"3",251.375,99.0833333333333,71.7995169082126,968.861797068179,322,184,138,254.5,251,261.833333333333,241.666666666667,2746,445,45,66.8288618017915,1288,150,687,370
"3",225.208333333333,103.25,73.2269503546099,943.026639297238,296,155,141,228.666666666667,225,235.666666666667,215.5,1906,284,31,65.8759072507016,820,98,456,248
"3",227.916666666667,106.333333333333,72.8310502283105,970.199916918095,301,155,146,231.833333333333,227.166666666667,238.666666666667,217.833333333333,1741,260,25,67.3571554250786,735,86,423,221
"3",228,107.166666666667,71.923937360179,1061.08863480347,303,154,149,231.666666666667,226.166666666667,239.333333333333,217.5,2015,300,29,65.4013254013289,843,94,475,262
"4",252.958333333333,82.0833333333333,74.6212121212121,782.32123526817,310,200,110,255.333333333333,255.166666666667,262,244.333333333333,3444,575,54,57.8541222981659,1540,234,356,631
"4",249.333333333333,83,74.1071428571429,784.026128197887,306,194,112,251.833333333333,250.833333333333,257.833333333333,241,3332,560,52,57.3675848415077,1477,230,734,609
"4",250.125,82.5833333333333,73.735119047619,779.896554912019,307,195,112,252.666666666667,251.333333333333,258.833333333333,242,3468,581,55,56.9490590812049,1532,243,764,640
"4",251.041666666667,78.0833333333333,71.6360856269113,842.199051545561,306,197,109,254.333333333333,249.666666666667,259.5,242.5,4026,629,61,54.7092319672106,1731,280,972,715
"4",252.25,78.1666666666667,71.7125382262997,843.558479947246,307,198,109,255.5,251.166666666667,260.666666666667,243.666666666667,3816,600,56,55.9469519838997,1663,257,930,663
"4",254.791666666667,83.25,73.6725663716814,800.130197738676,313,200,113,257.5,257,263.5,246.166666666667,3067,519,44,59.9109014905034,1396,192,306,541
"4",249.875,81.25,72.5446428571429,850.968699349587,307,195,112,253,250,258.666666666667,240.666666666667,3074,498,46,59.8399057094946,1385,185,710,522
"3",209.291666666667,104.75,71.2585034013605,1112.62554620169,283,136,147,214.333333333333,207.5,221,197.666666666667,2007,289,34,59.4651418043208,828,119,467,303
"3",213.291666666667,105.083333333333,71.0022522522522,1112.21693709074,288,140,148,218.5,211.5,225.333333333333,201.666666666667,2058,298,35,59.8277108582499,852,120,480,306
"3",209.25,103.166666666667,71.6435185185185,1074.60352096609,281,137,144,214.5,207.5,220.666666666667,198,2143,310,38,58.7063399297519,885,129,501,327
"3",237.291666666667,112.916666666667,71.4662447257384,1164.5245485787,317,159,158,241.666666666667,235.666666666667,250.166666666667,224.833333333333,1630,248,20,67.784437301056,720,76,373,218
"3",222.666666666667,108,71.0526315789474,1145.61085994514,299,147,152,227.833333333333,221.333333333333,234.833333333333,210.666666666667,1902,280,29,62.2644026821177,799,103,443,272
"3",239.25,69.6666666666667,63.3333333333333,1244.71610490834,294,184,110,244.5,232.333333333333,248.5,226.333333333333,2538,360,50,52.8586403564586,995,181,897,293
"3",243.625,99.9166666666667,72.4033816425121,942.222951805511,314,176,138,246.333333333333,244.5,254.5,234.5,1814,276,20,65.9933468320333,823,89,434,242
"3",235.666666666667,97.6666666666667,72.3456790123457,947.084841484488,304,169,135,239,235.666666666667,246.333333333333,226.333333333333,2162,332,32,61.2131651679402,956,119,494,321
"3",250.083333333333,97.3333333333333,72.0987654320988,934.401445100585,319,184,135,253,249,260.166666666667,240.666666666667,2623,422,42,64.0952491509752,1201,149,639,373
"3",243.75,97.1666666666667,71.9753086419753,959.521661132159,312,177,135,246.833333333333,243,254,234.333333333333,2468,387,39,61.7800698567206,1106,142,586,365
"3",244.666666666667,96.1666666666667,71.7661691542289,965.621169208838,313,179,134,247.833333333333,243.333333333333,255,235,2514,395,41,61.0898558774607,1119,147,593,378
"5",251.333333333333,102.333333333333,73.621103117506,796.393385358282,326,187,139,252.833333333333,258.5,262.5,242.833333333333,2041,392,12,81.0486752833966,863,43,158,633
"5",253.791666666667,102.25,72.5177304964539,828.596385278725,329,188,141,254.833333333333,261.666666666667,265.666666666667,245.333333333333,2033,390,14,79.5602314404927,850,50,168,630
"5",262.375,92.4166666666667,74.5295698924731,776.976950635076,328,204,124,262.666666666667,267.5,273,254.666666666667,2100,351,15,77.7981045970148,982,59,169,258
"5",261.208333333333,92.4166666666667,74.5295698924731,769.432592987531,327,203,124,261.166666666667,266.5,271.833333333333,253.666666666667,2110,353,15,77.5608406923173,985,60,169,262
"4",253.958333333333,75.4166666666667,71.1477987421384,861.673407159616,307,201,106,257.666666666667,252.333333333333,262.5,245.333333333333,3392,544,55,58.3382763982705,1525,223,846,568
"4",252.625,75.5833333333333,71.984126984127,852.836177383761,305,200,105,256.166666666667,251.166666666667,261,244.166666666667,3467,557,56,57.916219498877,1553,230,861,585
"4",254.125,74.75,70.5188679245283,887.315922011177,307,201,106,258.166666666667,252.333333333333,262.833333333333,245.333333333333,3385,543,56,58.2654969697722,1522,224,845,569
"4",254.208333333333,75.0833333333333,70.8333333333333,870.0727068191,307,201,106,258.166666666667,252.333333333333,262.666666666667,245.5,3582,584,59,57.7401246468855,1608,241,891,613
"4",259.291666666667,77.75,71.3302752293578,822.539950213343,316,207,109,263.5,260.5,268,250.5,2698,430,59,61.0109167664411,1230,187,696,407
"4",258.833333333333,76.6666666666667,70.9876543209877,852.0919000088,314,206,108,263.333333333333,259.833333333333,268,249.833333333333,2731,428,59,60.7944408711154,1231,187,705,411
"4",260.083333333333,75.8333333333333,70.8722741433022,853.823841032301,315,208,107,264.666666666667,261.166666666667,269.5,251.333333333333,2782,440,58,60.6079786511712,1245,189,719,422
"4",259.666666666667,75.5,70.5607476635514,841.35532795531,314,207,107,264.333333333333,260.5,268.166666666667,251,2783,442,57,60.8690324684961,1245,186,717,421
"3",251.583333333333,98.3333333333333,72.3039215686274,970.199916918095,321,185,136,254.5,251.166666666667,261.833333333333,241.666666666667,2847,465,47,66.9349409932109,1342,157,714,385
"3",250.208333333333,98.25,71.7153284671533,976.649730952554,320,183,137,253.333333333333,249.833333333333,260.666666666667,240.166666666667,2831,460,47,66.4108402318874,1328,157,707,386
"3",251.375,97.75,72.9477611940299,951.583608326858,320,186,134,254.333333333333,251.333333333333,261.166666666667,241.5,2759,447,46,65.9657373029793,1287,155,691,375
"3",230.791666666667,99.5833333333333,72.1618357487923,1015.21568092099,301,163,138,234.5,230.333333333333,242,220.166666666667,2541,383,45,61.1585062784579,1107,145,611,365
"3",252.5,97.1666666666667,71.9753086419753,962.713966772157,322,187,135,255.833333333333,251.833333333333,262.833333333333,242.666666666667,2810,459,47,66.0398484501677,1315,159,702,383
"3",228.041666666667,96.4166666666667,71.952736318408,984.760776980271,296,162,134,231.333333333333,228.166666666667,238.666666666667,218,2668,406,49,59.7358449335953,1164,162,640,396
"3",226.208333333333,95.9166666666667,72.1177944862155,959.274899772392,294,161,133,230,225.833333333333,236.5,215.833333333333,2651,403,50,59.1398788904732,1150,165,638,397
